Video URL,Title,Captions Available,Caption Text
https://www.youtube.com/watch?v=SY3cNY8cUD8,Dohchay,Yes,"Honesty is only useful to hear and read but not to survival. while they narrate the story they showed me 
Oscar, but later they showing me hell. Brother, Raghava killed Shekar and
ran away  with the bank robbery money. That Raghava's sister is studying
in a medical college. Is the girl pretty? Do you know him?
No. You want Nagarjuna to come
and save the  girl whom you are teasing It is just like the words are missing,  
sentences incomplete, hiding, not disclosing,  Fulfilling my thirst in the desert way,  
the words are falling down Not that I follow you and wish you
seeing on the road or Supermarket. Roaming here and there
to seek your attention. I am not that type,
changing trolley. Give me the trolley. What is Trivikram Doing?
Direction. Whom is he directing now?
Bunny. Whom is Puri directing now?
NTR. Suri? Ravi Teja.
If all them are busy, what about me."
https://www.youtube.com/watch?v=u7uLh5xcw3M,Crimson Tide,No,No captions available :()
https://www.youtube.com/watch?v=mMsC-Mt6bHU,Time Machine,No,No captions available :()
https://www.youtube.com/watch?v=fD9KKavtWJA,Theevram,No,No captions available :()
https://www.youtube.com/watch?v=YUK8YYSW9TM,Kushi,Yes,"If you go and meet him,
or he meets you I will kill him. Thats the reason I tell you not to keep any
commitments like love.  Look at me how happy I am. Love is not easy to conquer. Dont know what are the demands
and the magic of it. You must remember while flicking,
ash in the asktray. You must feel,
as if your flicking ash on me. With just a half-smile of your
boys go crazy. Do you know Jaya aunty,
do you know Lallu uncle. Your understanding right. They all are my background. If I keep non- voilence aside.
It will turn to voilence. Do you know who I am,
Guddumba Satti. You might be anyone, I dont care. Because I am Siddhu Siddhanth Roy."
https://www.youtube.com/watch?v=qLhHCzU159Y,Side Effects,No,No captions available :()
https://www.youtube.com/watch?v=sqv3miEcGZI,Pilla Rakshasi,No,No captions available :()
https://www.youtube.com/watch?v=K2nFNrfEBOI,The Head Hunter,No,No captions available :()
https://www.youtube.com/watch?v=v89QoKgrVyc,The Master,No,No captions available :()
https://www.youtube.com/watch?v=a5Dp9Qk5Xdc,Chaar Din Ki Chandni,No,No captions available :()
https://www.youtube.com/watch?v=G21W3wPJgX0,Vertigo,No,No captions available :()
https://www.youtube.com/watch?v=-ReBrMmG9iA,Dunkirk,No,No captions available :()
